mean_platform_revenue,mean_liquid_welfare,mean_effective_poa,mean_budget_utilization,mean_bid_to_value,mean_allocative_efficiency,mean_dual_cv,mean_no_sale_rate,mean_winner_entropy,mean_lp_offline_welfare,mean_effective_poa_lp,mean_rev_all,warm_start_benefit,inter_episode_volatility,bid_suppression_ratio,cross_episode_drift,auction_type,auction_type_coded,aggressiveness,aggressiveness_coded,n_bidders,n_bidders_coded,budget_multiplier,budget_multiplier_coded,reserve_price,reserve_price_coded,sigma,sigma_coded,cell_id,replicate,seed,auction_type_code
1236.8395023191556,1440.3839543487934,1.000226104815449,0.8506232707631036,0.9598752114490945,0.4160444444444445,0.5351702140268433,0.0,0.6179659056825222,1440.7032076577332,1.0002261048154493,1238.81153332059,149.05780952084683,0.12172148733451862,0.9598752113531069,-0.00014674850765883826,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,0,420000,0
881.3813854997773,986.5989707008363,1.0018116035602638,0.8859408981651781,0.9639396205415347,0.42856666666666665,0.5108073565765868,0.0,0.6118113621592121,988.3397592526214,1.0018116035602636,880.287366364082,121.22977690079438,0.11431778431252594,0.9639396204451407,8.240766093326913e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,1,420001,0
1141.9661369553069,1318.4277011304066,1.000197911548381,0.8595129798396216,0.9608470149363367,0.4564666666666666,0.4880658369290492,0.0,0.622544450899165,1318.686343040494,1.000197911548381,1139.8029941422094,324.92897911329567,0.11908727801547847,0.960847014840252,-0.00015602176384684396,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,2,420002,0
932.8606422143949,998.7771539632978,1.0000000000000002,0.9338335598888385,0.9571010729822359,0.6340777777777777,0.5973100954358822,0.0,0.6645450107915668,998.7771539632978,1.0,931.0337304901783,-39.91650987520677,0.06044571088238269,0.9571010728865258,0.0003731577164397105,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,3,420003,0
885.2374968608266,936.7653266858902,1.0220340897616669,0.9178866541173623,0.9810496404872898,0.3229111111111111,0.5937111122584178,0.0,0.5693642229096152,956.6498097054565,1.0220340897616669,886.5008090718097,-49.32885097780024,0.08716615054483684,0.9810496403891849,2.9076524508457877e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,4,420004,0
1296.244527363531,1456.38937860387,1.0000000000000002,0.8410689927048487,0.9974275964933824,0.32447777777777775,0.5702044941902203,0.0,0.6301198531975513,1456.3893786038702,1.0,1296.4332059517455,13.500378647452408,0.01664655649190597,0.9974275963936396,-1.9667443116056913e-06,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,5,420005,0
1903.9505037253512,2121.6982645008825,1.0,0.8946765076211787,0.9643763912871669,0.5202444444444445,0.5294394259879153,0.0,0.6395463587426169,2121.698264500883,1.0,1905.4728437416384,156.71046105821347,0.09195512893125005,0.9643763911907293,-0.00010402107237454304,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,6,420006,0
1394.4657739027452,1529.2409199938681,1.0,0.8821703714401281,0.9921151309345595,0.29112222222222217,0.5793017735538543,0.0,0.6028790388807409,1529.2409199938681,1.0,1397.0456534265563,53.04075457621275,0.023862896752178054,0.992115130835348,4.410857181933867e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,7,420007,0
2244.2315447065475,2320.641178442663,1.0,0.9670645915288112,1.0578901230631303,0.7043222222222223,0.5147702950899381,0.0,0.676757000002778,2320.6411784426627,1.0,2241.847196159246,-153.79200252431747,0.03688418935338096,1.0578901229573414,7.41136459771141e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,0,421000,0
1932.71235853871,2000.7756446773942,1.0,0.964858398891385,1.0569071903980722,0.6817111111111112,0.5449497277418293,0.0,0.6710046471082635,2000.7756446773942,1.0,1932.5237085141582,35.09458550531417,0.03752088003753541,1.0569071902923814,3.549634601184523e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,1,421001,0
2087.3670368640364,2147.416592653051,1.0000000000000002,0.9716071850295797,1.0606519606774936,0.6960777777777778,0.5139409499932214,0.0,0.6713434635130328,2147.416592653051,1.0000000000000002,2087.861411525677,-27.634473429779973,0.02803998423888089,1.0606519605714284,0.00013663715715921468,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,2,421002,0
2041.8665970446025,2107.8113010622656,1.0,0.96713393433946,1.0599683950137317,0.6743444444444445,0.5208008560192486,0.0,0.6726792257834965,2107.811301062265,0.9999999999999997,2039.8650267136306,54.081097072344846,0.033504062128097784,1.059968394907735,3.189044646702498e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,3,421003,0
1030.467684612045,1067.0269942743942,0.9999999999999997,0.9657818311623686,1.0554277928868123,0.7067444444444444,0.49925776886281764,0.0,0.6684657326639059,1067.0269942743937,1.0,1031.8332422701662,5.0502489060861535,0.034942359673063195,1.0554277927812696,7.801184014327713e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,4,421004,0
1844.6899692235515,1920.9781536506189,1.0,0.9477816182873132,1.0820477086166094,0.5911666666666666,0.4803257525965904,0.0,0.676115351199718,1920.9781536506189,1.0,1848.2038264951393,4.0428606957816555,0.035055072600996176,1.0820477085084046,3.031090234731525e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,5,421005,0
1856.4608140618034,1926.9163124893,1.0,0.9620869852763079,1.0561287551658178,0.6897888888888889,0.5305753374599309,0.0,0.6758155873855501,1926.9163124893003,1.0,1856.7684771497131,10.086199047969785,0.0326373103671441,1.056128755060205,0.0001437555375295993,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,6,421006,0
1210.2677364186118,1251.4110064655683,0.9999999999999999,0.9670500161037698,0.9142730478953836,0.5660999999999999,0.6764035621195313,0.05292222222222223,0.6751110743219858,1251.4110064655679,0.9999999999999999,1208.99280004923,-63.64785187614416,0.0339279016686331,0.9142730478039562,-5.2498113523415153e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,7,421007,0
1892.4953165200345,1973.8046928705194,1.0,0.9544789304441978,1.0590029111195742,0.6514222222222222,0.5848612472401074,0.0,0.673223365733761,1973.8046928705198,1.0,1893.3836014497335,-166.0293441120507,0.03865392473777576,1.0590029110136738,-1.0251461116464255e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,0,422000,0
914.447662278877,943.3801736070109,1.0,0.9691079020176342,0.9073318270791916,0.5247555555555556,0.6774481283390734,0.04371111111111111,0.6643703896189298,943.3801736070109,1.0,913.1400214848488,-2.5684429323919176,0.03368112353639959,0.9073318269884584,-0.00012986463730413946,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,1,422001,0
923.5942851793071,979.1247566956415,1.0,0.9402139098442894,0.9291555532695271,0.4185,0.5953551763869747,0.01893333333333333,0.6464702677352799,979.1247566956415,1.0,923.8714814727214,-15.059818311235745,0.050218455570917364,0.9291555531766116,7.20589705019186e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,2,422002,0
1668.4441594441832,1803.9969232978028,1.0010618872004702,0.9137395472571423,0.9644635083407822,0.32202222222222215,0.5822939710063242,0.004277777777777778,0.6179494356970557,1805.854186888775,1.0010618872004702,1668.8088210918295,-19.668901680196768,0.07404905752160876,0.9644635082443358,-4.822670052455885e-05,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,3,422003,0
1278.3699652430464,1315.1656765900082,1.0000000000000002,0.9614242799966396,0.9931271165041756,0.3156,0.5799958997520972,0.0003888888888888889,0.6233747054124747,1315.1656765900084,1.0,1279.0816723833498,-4.7081651741809765,0.01292081526078556,0.993127116404863,1.954563361830185e-06,second,-1,0.3,-1,2,-1,0.25,-1,0.3,1,0.1,-1,2,4,422004,0
