avg_rev_last_1000,time_to_converge,avg_regret_of_seller,no_sale_rate,price_volatility,winner_entropy,run_id,eta,alpha,gamma,episodes,reserve_price,auction_type_code,init_code,exploration_code,asynchronous_code,n_bidders,median_opp_past_bid_index_code,winner_bid_index_state_code,theoretical_revenue,ratio_to_theory
0.7734000000000001,1000,0.22867,0.08999,0.28320174981804047,1.3862452720904321,0,0.0,0.05,0.9,100000,0.2,1,0,1,0,4,0,0,0.6006731775311736,1.2875554110452392
0.8052,1000,0.19621599999999997,0.00135,0.20336981423997022,1.386289995582625,0,0.0,0.05,0.9,100000,0.2,0,0,1,0,4,0,0,0.5992763100477804,1.343620607889208
0.8356,1000,0.16352199999999997,0.00082,0.1932546390542799,1.3862870563487049,1,0.5,0.1,0.95,100000,0.4,1,1,1,1,2,1,0,0.33267176942408305,2.5117851191478606
0.4000000000000001,88617,0.353612,0.0022,0.25331749536105874,1.3862867900452134,1,0.5,0.1,0.95,100000,0.4,0,1,1,1,2,1,0,0.33464734461867857,1.1952881337092007
0.5999999999999998,83741,0.26919399999999993,0.00265,0.18054525849215755,1.3777634526281477,2,0.5,0.005,0.25,100000,0.5,1,1,1,0,4,1,0,0.5501995854068548,1.0905133626306156
0.7894000000000001,1000,0.20495999999999998,0.07806,0.2728930164002003,1.3862580399426085,2,0.5,0.005,0.25,100000,0.5,0,1,1,0,4,1,0,0.5496933916457962,1.436073294671628
0.20000000000000004,94445,0.497348,0.02923,0.3005131725831665,0.6929439690110261,3,0.5,0.005,0.0,100000,0.3,1,1,0,1,4,0,1,0.5501995854068548,0.3635044542102054
0.807,1000,0.19669799999999996,0.00106,0.20383497441803256,1.3862898926764062,3,0.5,0.005,0.0,100000,0.3,0,1,0,1,4,0,1,0.5496933916457962,1.4680911436534123
0.8364000000000001,1000,0.16311199999999998,0.00074,0.19298102356449454,1.386267058935315,4,0.0,0.05,0.9,100000,0.2,1,0,1,0,4,1,1,0.6006731775311736,1.3924377370031524
0.0,90346,0.600104,0.52043,0.43108605774717423,1.0986001371566687,4,0.0,0.05,0.9,100000,0.2,0,0,1,0,4,1,1,0.5992763100477804,0.0
0.0,90346,0.600104,0.52043,0.43108605774717423,1.0986001371566687,5,0.75,0.001,0.5,100000,0.2,1,0,0,1,2,1,1,0.3332006289873026,0.0
0.20000000000000004,89002,0.5500499999999999,0.0,0.30920769314491514,0.6931415357473241,5,0.75,0.001,0.5,100000,0.2,0,0,0,1,2,1,1,0.33388176450225676,0.5990144454224849
0.5999999999999998,68235,0.3561639999999999,0.0,0.1936388522585279,0.6258020675213197,6,1.0,0.05,0.5,100000,0.5,1,0,0,1,3,0,0,0.4379398432595793,1.3700511822222186
0.644,1000,0.356046,0.12383,0.3158930924917479,0.6931444965381722,6,1.0,0.05,0.5,100000,0.5,0,0,0,1,3,0,0,0.4384083019635401,1.468950284736072
0.40120000000000006,88858,0.3503699999999999,0.00025,0.2515401818795558,1.3862889554574387,7,0.75,0.001,0.75,100000,0.0,1,1,0,0,2,1,1,0.3332006289873026,1.2040793596919912
0.591,97850,0.3704259999999999,0.03026,0.28607862297627207,0.6908615640568139,7,0.75,0.001,0.75,100000,0.0,0,1,0,0,2,1,1,0.33388176450225676,1.7700876862234425
0.6063999999999998,91952,0.2589599999999999,0.00025,0.17772258832236262,1.3862724903524721,8,1.0,0.01,0.25,100000,0.4,1,1,1,0,2,1,1,0.3328434385544596,1.8218775849498416
0.6342000000000001,92710,0.35737399999999997,0.12437,0.3156051712567461,0.6931458470334204,8,1.0,0.01,0.25,100000,0.4,0,1,1,0,2,1,1,0.3335931523257017,1.9011181601857423
0.6094,92829,0.384404,0.13704,0.31703243490848065,0.693140045049804,9,0.5,0.1,0.95,100000,0.2,1,1,0,0,4,1,0,0.5501995854068548,1.1075980719784957
0.62,78531,0.383604,0.13696,0.31741577021943945,0.6931436909362045,9,0.5,0.1,0.95,100000,0.2,0,1,0,0,4,1,0,0.5496933916457962,1.1279014982219524
