avg_rev_last_1000,time_to_converge,avg_regret_of_seller,alpha,gamma,episodes,auction_type,init,exploration,asynchronous,n_bidders,median_opp_past_bid_index,winner_bid_index_state
0.8993000000000001,1000,0.11086767266395818,0.06142623352209222,0.4246001641283635,62028,first,zeros,boltzmann,1,6,False,False
0.8458000000000001,1000,0.1493176736118367,0.08599796663725433,0.7503748589108994,47851,second,zeros,boltzmann,1,4,True,False
0.8472000000000001,1000,0.15061024397058634,0.02209278197011611,0.8389593995678604,78739,second,random,boltzmann,1,4,True,False
0.9045000000000002,4347,0.11552786798329906,0.09604308447003244,0.9383492121887559,15089,first,zeros,egreedy,1,4,False,False
1.0,11141,0.031518651114447384,0.031416816438270226,0.5387869330429923,43295,second,random,egreedy,1,4,False,False
0.9000000000000002,8718,0.10960236608609925,0.031244328076369107,0.10213437388840864,45645,first,random,egreedy,0,4,True,False
0.9000000000000002,71394,0.2565841578089178,0.06606115254007318,0.7343691193681221,81567,first,zeros,egreedy,0,2,False,True
1.0,6547,0.014489404133972001,0.08140060753854968,0.8137345018965295,53653,second,random,egreedy,0,6,True,True
0.8855000000000001,1000,0.11043829464598157,0.039144948834984615,0.1493406821852569,68584,first,random,boltzmann,0,6,False,False
0.9000000000000002,1000,0.08621835368992464,0.030403527344294398,0.952672085476039,21369,first,random,egreedy,0,6,False,True
0.8307,1000,0.17245415702332204,0.05167066220335194,0.3695788120810916,22468,first,zeros,boltzmann,0,4,False,True
0.8902000000000002,1000,0.11174953246920745,0.06142623352209222,0.4246001641283635,62028,first,zeros,boltzmann,1,6,False,False
1.0,10918,0.014405761016548968,0.05071415981588368,0.554174662219691,93178,second,zeros,egreedy,0,6,True,False
0.9000000000000002,18226,0.1157211043786441,0.05271136108196933,0.6508977776306828,69976,first,zeros,egreedy,1,4,True,True
0.9000000000000002,1000,0.08660695571981498,0.033310764254392625,0.6784054130348915,71567,first,random,egreedy,0,6,False,False
0.8863000000000002,1000,0.11060815631233346,0.019614568393149012,0.6955596687469869,68683,first,zeros,boltzmann,1,6,False,True
