avg_rev_last_1000,time_to_converge,no_sale_rate,price_volatility,winner_entropy,raw_regret,efficient_regret,excess_regret,structural_gap,shading_gap,excess_gap,btv_median,btv_iqr,winners_curse_freq,bid_dispersion,signal_slope_ratio,theoretical_revenue,efficient_benchmark,bne_bid_coefficient,theoretical_revenue_grid,theoretical_revenue_grid_se,tie_top_rate,auction_type,n_bidders,state_info,eta,auction_type_coded,n_bidders_coded,state_info_coded,eta_linear_coded,eta_quadratic_coded,cell_id,replicate,seed,auction_type_code,ratio_to_theory
0.32215,1000,0.0,0.2343656118119721,0.6924990405173356,0.6778500000000001,0.516775,0.03354999999999997,0.33333333333333337,0.3333333333333333,0.011183333333333323,0.5309301181972503,0.6715797709618478,0.201,0.165125,0.398199208220057,0.3333333333333333,0.6666666666666666,1.0,0.3323420999999999,0.000744075692168411,0.005,second,2,signal_only,0.0,-1,-1,-1,-1,1,0,0,420000,0,0.96645
0.15513,1000,0.0,0.3409120060954146,0.6929051610328316,0.84487,0.767305,0.53461,0.33333333333333337,0.3333333333333333,0.17820333333333332,0.0,0.5658372714886682,0.167,0.17404,0.04727852310579273,0.3333333333333333,0.6666666666666666,1.0,0.33366,0.000745665209058328,0.188,second,2,signal_winner,0.0,-1,-1,1,-1,1,1,0,420001,0,0.46538999999999997
0.66801,1000,0.0,0.13437768825217972,1.7811644125973896,0.33199,0.22065499999999993,0.06478600000000001,0.1428571428571429,0.1428571428571428,0.04627571428571431,0.9528103534506104,0.735273920565103,0.448,0.3028786565929923,0.5446637337882186,0.7142857142857143,0.8571428571428571,1.0,0.7153775,0.0005031455405123849,0.027,second,6,signal_only,0.0,-1,1,-1,-1,1,2,0,420002,0,0.935214
0.43176,1000,0.0,0.31021050772016084,1.7897070365334384,0.5682400000000001,0.49627999999999994,0.395536,0.1428571428571429,0.1428571428571428,0.2825257142857143,0.8300558417362311,1.5519489927406451,0.411,0.2533434197008942,0.06774644865565771,0.7142857142857143,0.8571428571428571,1.0,0.7143878,0.0005056075079660111,0.108,second,6,signal_winner,0.0,-1,1,1,-1,1,3,0,420003,0,0.604464
0.4542900000000001,1000,0.0,0.280701791764855,0.693049177356361,0.5457099999999999,0.3185649999999999,-0.36287000000000025,0.33333333333333337,0.3333333333333333,-0.12095666666666677,0.7096821210723294,1.043071087782376,0.347,0.13670500000000002,0.1933525752775337,0.3333333333333333,0.6666666666666666,0.5,0.33385089999999995,0.00037318217493859476,0.026,first,2,signal_only,0.0,1,-1,-1,-1,1,4,0,420004,1,1.3628700000000002
0.41645,1000,0.0,0.3455460859277674,0.69189665920308,0.58355,0.375325,-0.24934999999999996,0.33333333333333337,0.3333333333333333,-0.08311666666666667,0.6874678488148156,1.3656681964065827,0.359,0.15412,0.23600352758813833,0.3333333333333333,0.6666666666666666,0.5,0.33299449999999997,0.0003724846569960969,0.252,first,2,signal_winner,0.0,1,-1,1,-1,1,5,0,420005,1,1.24935
0.7726400000000001,1000,0.0,0.16743425694880962,1.7798792482661931,0.2273599999999999,0.09858666666666649,-0.08169600000000021,0.1428571428571429,0.1428571428571428,-0.0583542857142858,1.0089571978863203,1.1243393855246775,0.514,0.2850832084318481,0.5402207016074853,0.7142857142857143,0.8571428571428571,0.8333333333333334,0.7142265,0.00032685100118785013,0.029,first,6,signal_only,0.0,1,1,-1,-1,1,6,0,420006,1,1.0816960000000002
0.61492,1000,0.0,0.32922453371521393,1.782663421809861,0.38508,0.28259333333333325,0.139112,0.1428571428571429,0.1428571428571428,0.09936571428571428,1.0981869465382026,1.4318532966416782,0.56,0.22728097455653798,0.07466667220927863,0.7142857142857143,0.8571428571428571,0.8333333333333334,0.7140266000000001,0.0003262210982208232,0.151,first,6,signal_winner,0.0,1,1,1,-1,1,7,0,420007,1,0.860888
0.31822,1000,0.0,0.22578788630039479,0.6802920001901536,0.68178,0.4544799999999999,0.045339999999999936,0.41666666666666674,0.24999999999999994,0.015113333333333312,0.5940611399809614,0.7293751618033333,0.262,0.15613,0.15022605001369868,0.3333333333333333,0.5833333333333333,1.0,0.33342910000000003,0.0007478259575141131,0.016,second,2,signal_only,0.5,-1,-1,-1,0,-2,8,0,420008,0,0.9546600000000001
0.14504000000000003,1000,0.0,0.34524942737099507,0.688909190312647,0.8549599999999999,0.7513599999999999,0.5648799999999998,0.41666666666666674,0.24999999999999994,0.18829333333333328,0.0,0.45860080411040643,0.127,0.187115,0.03799705298762596,0.3333333333333333,0.5833333333333333,1.0,0.3323231,0.0007447895421284458,0.174,second,2,signal_winner,0.5,-1,-1,1,0,-2,9,0,420009,0,0.4351200000000001
0.63106,1000,0.0,0.15645413864772,1.7762939801027955,0.36894000000000005,0.15858666666666676,0.018351111111111207,0.25,0.1071428571428571,0.01179714285714295,0.9878143857528663,0.7128125479481109,0.482,0.28729238651510686,0.5515987184756719,0.6428571428571429,0.75,0.9,0.6427706,0.00045501839276714955,0.022,second,6,signal_only,0.5,-1,1,-1,0,-2,10,0,420010,0,0.9816488888888888
0.41523000000000004,1000,0.0,0.3059186216953783,1.7871352351632006,0.58477,0.44636,0.35408666666666666,0.25,0.1071428571428571,0.22762714285714286,0.806765408019511,1.4156941328589097,0.399,0.24529142586389477,0.0719747818818399,0.6428571428571429,0.75,0.9,0.6431449,0.00045410523674573494,0.118,second,6,signal_winner,0.5,-1,1,1,0,-2,11,0,420011,0,0.6459133333333333
