x,true_tau,oracle_bias,oracle_variance,oracle_rmse,oracle_mc_se,if_bias,if_variance,if_rmse,if_mc_se,if_analytical_se,if_coverage,se_ratio,se_calibration
0.0,0.0,-0.001781481492478926,0.007456659907800844,0.0863703281463541,0.08635195369996468,0.0013097740882470634,0.009505523267942254,0.09750507051484296,0.09749627309770488,0.09667154249234874,0.952,1.1195061414387928,0.9915409012144532
0.1,0.5687852522924731,-0.003598837788659215,0.004494335569912271,0.06713633296018895,0.06703980586123644,-0.005795929294123869,0.009254853569929332,0.09637658619349315,0.09620214950784277,0.09420019874075265,0.952,1.4051382985167744,0.9791901659439853
0.2,0.8790565162951536,-0.001047726119275838,0.002409888767003595,0.049101797289148263,0.049090617912220205,-0.0016382639033808433,0.008200554068090353,0.09057172835221526,0.0905569106589351,0.09243213066045515,0.956,1.8828879038706472,1.0207076410610196
0.30000000000000004,0.7980565162951535,0.0013447619159114854,0.002095940635189282,0.045801190157022866,0.04578144422349826,-0.0040748402105881265,0.007254316777423438,0.08526969625937027,0.08517227704730829,0.09080550129718613,0.96,1.9834564600864724,1.066139176327867
0.4,0.3317852522924732,0.0014979330636167854,0.0022866576930371777,0.047842465409929015,0.04781900974546815,0.004061571095047789,0.008168616561768108,0.09047161389921281,0.09038039921226343,0.0900594180052503,0.954,1.8833392511601585,0.9964485528963057
0.5,-0.3749999999999999,-0.00022250758297120976,0.0014964316544799456,0.038684378812440884,0.03868373888961543,-0.0020948815190406367,0.008434898146917632,0.09186559026913424,0.09184170156806565,0.08951430263155344,0.942,2.31400338232516,0.9746585821388846
0.6000000000000001,-1.0917852522924734,-0.0019388976025209725,0.0019836752572856106,0.04458065254343718,0.04453846940887855,0.0061357013028811025,0.00839156648476424,0.09181074727526412,0.09160549374772367,0.08993657585018389,0.942,2.019301000771603,0.9817814649617425
0.7000000000000001,-1.5880565162951537,-0.0017735745737006425,0.002317857496018697,0.04817678966875205,0.048144132519121134,-0.002647882766435572,0.008739028076171421,0.09352026175816772,0.09348276887304645,0.09054348592310772,0.94,1.8806754049862062,0.9685580242715062
0.8,-1.7190565162951539,0.0006391665966785087,0.0022845870073851964,0.04780162697360317,0.047797353560476506,-0.0020827201215647406,0.008592664931490787,0.09272002294324326,0.09269662847963127,0.09226884713204675,0.95,1.9304174867192563,0.9953851466380084
0.9,-1.4787852522924734,0.003218632655329845,0.004312259505251583,0.06574662806122866,0.06566779656156878,0.0036664589404231673,0.008917930636454444,0.09450594456231974,0.09443479568704771,0.09513499892205539,0.946,1.4487314011344778,1.0074146741136405
