sim,n,seed,mu0_rmse,mu0_r2,mu1_rmse,mu1_r2,pi_rmse,pi_r2,pi_auc
30,500,72,0.12642715035418786,0.953794553170495,0.23823921751186206,0.8276440250247797,0.013429943751633812,0.9869653050364803,0.6525962585687745
31,500,73,0.12843458324653473,0.9494897292706412,0.09858559519150567,0.9695891820771626,0.01603903990995085,0.980306972861371,0.6326999791730082
32,500,74,0.2098088143769804,0.8653270516475531,0.1589173527618795,0.9217860657596241,0.02588585831156305,0.94874950587046,0.6123401452348821
33,500,75,0.13380974185504216,0.9473522437755755,0.12850059186274926,0.9473566539177211,0.046908788618766066,0.8382468133209797,0.5966103610877851
34,500,76,0.12106141825553829,0.9547133100629991,0.11482942489243977,0.9594471373786186,0.041055584844826847,0.8697902339127914,0.6780193236714975
35,500,77,0.18261670879197567,0.8947021325455419,0.13944154158736338,0.9366091964520934,0.05803938460535491,0.7340964353791697,0.5663839084891716
36,500,78,0.12435356807838291,0.9522251009704349,0.10788470921524682,0.9607791051573248,0.028530125912446216,0.9371318528210373,0.6035346262160779
37,500,79,0.1528971894931784,0.9300287524114986,0.11829706044619057,0.9567400318756989,0.03403958447096897,0.9132979989182181,0.5980113636363636
38,500,80,0.17099409194933357,0.9076124340259699,0.22606187202337108,0.8522165565461498,0.023277886153783286,0.9571965866383187,0.6216326530612244
39,500,81,0.15512907922223723,0.9291432709121472,0.08702548654983042,0.9753451402417156,0.023395634861314477,0.9597093430295712,0.6174086464230572
40,500,82,0.16811093019665896,0.9127843211373977,0.12181274934030971,0.9504870604596652,0.029149005272573743,0.9344473656337419,0.670277991782229
41,500,83,0.15600992276610723,0.9262085272837073,0.15422680191883684,0.92340295168482,0.01691737092622944,0.9783076058841128,0.6291696067740072
42,500,84,0.09447612941866441,0.973515749569723,0.145025562255985,0.9334577164614919,0.022697308894826913,0.9617851423678986,0.6515297906602253
43,500,85,0.09023475606147889,0.9752277330674105,0.09670961859298506,0.969538666256803,0.05564327061933222,0.7645040943249826,0.5895701978148915
44,500,86,0.08483036018797989,0.9787817245248764,0.12966008517024907,0.9464008502935255,0.03837384429111775,0.8914529342308214,0.6533035714285714
45,500,87,0.10089531040947423,0.9689198632741923,0.1537349043395976,0.9259568822441051,0.04995518987640638,0.8095231519903299,0.5922865013774105
46,500,88,0.17538224194365884,0.9086078398742283,0.19724877551338915,0.8801324565161821,0.025527929069524904,0.9515929201045872,0.6146534050868089
47,500,89,0.13170202756981614,0.9471789077882283,0.11721228261972148,0.9559956049790261,0.03826722438959791,0.8885150124498937,0.6270171618852459
48,500,90,0.11570259254211833,0.9605853261424807,0.19742205291999593,0.8797547867237941,0.04605977010915199,0.8438452147465587,0.6331344548774127
49,500,91,0.10115348651288764,0.9693519726058153,0.10553855148825672,0.9644154612168617,0.03801261554950171,0.8917977405742132,0.6373156554738915
