x,true_tau,oracle_bias,oracle_variance,oracle_rmse,oracle_mc_se,if_bias,if_variance,if_rmse,if_mc_se,if_analytical_se,if_coverage,se_ratio,se_calibration
0.0,0.0,0.03802457522825915,0.06548441458054538,0.25870887673567544,0.25589922739341237,0.02962666919278399,0.08958682654622059,0.3007732801857227,0.29931058542293587,0.31038943794596263,0.94,1.212936205816591,1.0370145696897821
0.1,0.5687852522924731,-0.024813672463147474,0.055457977878092195,0.23679885181140672,0.2354951759125698,-0.0344824618183458,0.07862198380358508,0.28250844938981695,0.2803961194517233,0.29814126388579987,0.96,1.2660185616561765,1.0632859843737308
0.2,0.8790565162951536,-0.02033195792227016,0.031476800866383735,0.17857824441778092,0.17741702530023362,-0.030734039677402847,0.09443297832614783,0.3088325752265133,0.3072994928829981,0.29040070555581987,0.96,1.6368254684937358,0.9450087366931896
0.30000000000000004,0.7980565162951535,-0.0010601518229893525,0.022150901679184064,0.14883556564568784,0.14883178988100648,-0.007937798884752656,0.06696435466453106,0.2588964335707733,0.2587747179778795,0.2889726920712714,0.98,1.9416059720998446,1.1166959984706593
0.4,0.3317852522924732,0.005289589356209157,0.02148749920842277,0.1466815563183732,0.1465861494426495,0.07600841933245917,0.07490296748902842,0.2840426856978496,0.27368406509884424,0.28401975916633976,0.94,1.937562042841298,1.037765056083052
0.5,-0.3749999999999999,-0.004177176667766402,0.01603886990175482,0.12671353008526182,0.1266446599812042,0.0316981566261309,0.07916465570838993,0.2831420647694098,0.2813621433462397,0.29111211547298776,0.98,2.29865290424557,1.03465275040484
0.6000000000000001,-1.0917852522924734,-0.017016701282172475,0.025148885237947633,0.15949436780173248,0.1585840005736633,-0.06707392217402885,0.09024051500772912,0.3077977031160837,0.3004005908911118,0.28729387949323987,0.96,1.8116195735634126,0.9563692223141371
0.7000000000000001,-1.5880565162951537,-0.020785235874265284,0.029062106043439194,0.17173855732999516,0.17047611575654578,0.04693089476967849,0.07291211251173535,0.27407046793775136,0.2700224296456414,0.29451382809776905,0.94,1.7275958382249836,1.0907013483445374
0.8,-1.7190565162951539,-0.018377222727137488,0.023428739644700037,0.15416375047287495,0.15306449504930933,-0.05481225847333504,0.11432961080964572,0.3425405005084704,0.3381266194928251,0.28531944807541576,0.88,1.8640472304403504,0.8438242706338303
0.9,-1.4787852522924734,-0.03750481831927388,0.034940996251308296,0.19065048557103137,0.18692510867004544,-0.056982339309865626,0.0986342458592971,0.31918839711449687,0.31406089514502933,0.29939837797960633,0.94,1.601702307998094,0.9533131396105459
