mean_platform_revenue,mean_liquid_welfare,mean_effective_poa,mean_budget_utilization,mean_bid_to_value,mean_allocative_efficiency,mean_dual_cv,mean_no_sale_rate,mean_winner_entropy,warm_start_benefit,inter_episode_volatility,bid_suppression_ratio,cross_episode_drift,auction_type,auction_type_coded,objective,objective_coded,n_bidders,n_bidders_coded,cell_id,replicate,seed,auction_type_code,objective_code
2078.5652230634278,2402.6581183948915,0.8653727277739401,0.9997540301405481,1.2202169696846832,0.8809444444444445,0.1439829722645666,0.0,0.6928677829414717,10.931244432613767,0.0006811224764293025,1.2202169695626615,-3.6678422813963864e-05,second,-1,value_max,-1,2,-1,0,0,420000,0,0
2997.904284444831,3462.214369474074,0.8662620164390689,0.9996362797314692,1.2385445579433387,0.837722222222222,0.21897275162667929,0.0,0.6894003719719641,-0.659615190148088,0.000874847279423384,1.2385445578194842,1.6810325725734847e-05,second,-1,value_max,-1,2,-1,0,1,420001,0,0
2744.2813438949715,3173.0551517426584,0.8651569471720771,0.9997361192546192,1.2327527693344762,0.8478777777777777,0.1901944235683915,0.0,0.6907264260834987,6.100071285010472,0.0007646065268702201,1.2327527692112008,8.455291638754702e-05,second,-1,value_max,-1,2,-1,0,2,420002,0,0
1990.9423335940153,2320.724002437325,0.8581380040949551,0.9997777661627002,1.2313793118364096,0.8380444444444441,0.15759474171303883,0.0,0.6865090879372354,14.643655455738326,0.0004903145711102896,1.2313793117132716,4.4009845940889344e-05,second,-1,value_max,-1,2,-1,0,3,420003,0,0
2056.7444698870772,2387.081992932087,0.8619193270771248,0.9997037615922936,1.2268918963457056,0.8594888888888889,0.15657932305809313,0.0,0.6900944780904195,10.16671991939279,0.0009419165093483245,1.2268918962230164,8.754520959986335e-05,second,-1,value_max,-1,2,-1,0,4,420004,0,0
3031.082327905481,3757.8467000568326,0.806804691017486,0.9998059957459072,1.3467876079723005,0.7297,0.14907701547008106,0.0,0.6359835585349951,9.413506433946168,0.0005028784779835235,1.3467876078376217,7.731955583965086e-05,second,-1,value_max,-1,2,-1,0,5,420005,0,0
3182.81821247451,3858.1341063021264,0.8251542683740598,0.9998485146530799,1.3075978537746997,0.7425555555555555,0.17501486219906437,0.0,0.6540212314850716,12.636245670218614,0.0004080146939778676,1.3075978536439399,1.527778200366092e-05,second,-1,value_max,-1,2,-1,0,6,420006,0,0
2660.739642344374,3134.6737983036755,0.8491211167421326,0.9996974959314078,1.2585512464964863,0.7842555555555557,0.17468097593090226,0.0,0.6759702066221943,-0.25503229435480534,0.0008763474157928373,1.2585512463706312,0.00014189345083870242,second,-1,value_max,-1,2,-1,0,7,420007,0,0
3464.5759531990307,4014.172233575966,0.8634190062614452,0.9996972279394438,1.2435140058275886,0.8204777777777776,0.17011520683641232,0.0,0.6869865234487519,2.8510374984330156,0.0007783342249706611,1.2435140057032372,8.533582857256903e-05,second,-1,value_max,-1,2,-1,0,8,420008,0,0
4415.77554272268,5077.059932534956,0.8699623944231335,0.9998181490822731,1.2398419016879134,0.8324777777777778,0.17412143047044143,0.0,0.69181817637779,0.5048270371635226,0.00042327744745321094,1.2398419015639293,1.4946994819355856e-05,second,-1,value_max,-1,2,-1,0,9,420009,0,0
2231.955478272144,2582.027297156066,0.8647300065052331,0.9997177834045557,1.2267835160143814,0.8642666666666666,0.1422394569364104,0.0,0.6909952189694338,7.786788046725178,0.0008234715819410601,1.226783515891703,7.21149339934554e-05,second,-1,value_max,-1,2,-1,0,10,420010,0,0
2843.4854942484903,3642.233225476323,0.7809052684554256,0.9997800612530832,1.4063539599529713,0.7318333333333332,0.17586586696438375,0.0,0.6089739320663256,13.053007518361483,0.0006124426264057799,1.4063539598123358,6.48412244240138e-05,second,-1,value_max,-1,2,-1,0,11,420011,0,0
3032.9896370441406,3519.531859711182,0.8620375473457313,0.9997379230464347,1.2388239283277667,0.8282444444444443,0.16431547072156164,0.0,0.6869011298186243,8.742244496120747,0.0006501877231964839,1.2388239282038842,-2.903056297028965e-05,second,-1,value_max,-1,2,-1,0,12,420012,0,0
1901.1588691909903,2202.0306986019873,0.8636112703839318,0.9997771192496804,1.222095938320278,0.8765333333333334,0.11603726190332612,0.0,0.6918467663893066,2.6753342752679146,0.0005944333265120142,1.2220959381980685,5.7341229538331564e-05,second,-1,value_max,-1,2,-1,0,13,420013,0,0
2588.780482778895,3194.4124923142817,0.8107894121128939,0.9996287044356921,1.3422606576992133,0.7284333333333332,0.19969029971861763,0.0,0.6405438419433208,11.385547471432801,0.0011530236863613545,1.3422606575649871,0.00014988456930800116,second,-1,value_max,-1,2,-1,0,14,420014,0,0
3298.0641331123998,3946.899194658991,0.8358390125662064,0.9997966139193307,1.293131184576202,0.7462777777777778,0.2192486795249735,0.0,0.6638958075625988,11.98475011401979,0.0008096407702543311,1.2931311844468887,6.72119124662558e-05,second,-1,value_max,-1,2,-1,0,15,420015,0,0
2451.3631469087845,2829.780952691487,0.8665768863756518,0.9997127798147768,1.2258138594360666,0.8684000000000001,0.1674866100832092,0.0,0.6924418422837355,8.772758258835438,0.0007730329035073731,1.225813859313485,-8.920945791243067e-06,second,-1,value_max,-1,2,-1,0,16,420016,0,0
1766.4378922588558,2039.6090650008916,0.8664044879585381,0.9996819597750679,1.2193861251650455,0.8873777777777777,0.13973917545738374,0.0,0.6928386232397243,3.271735286579542,0.0007620882493020588,1.2193861250431068,7.404239184473832e-05,second,-1,value_max,-1,2,-1,0,17,420017,0,0
