liquid_welfare,platform_revenue,allocative_efficiency,budget_utilization,bid_to_value,dual_final_mean,dual_cv,no_sale_rate,winner_entropy,effective_poa,offline_optimum,episode,auction_type,auction_type_coded,objective,objective_coded,n_bidders,n_bidders_coded,cell_id,seed
2414.015065412904,2078.394931410495,0.895,0.9996722198319368,1.2389789866711458,0.6093262772086413,0.09432835132118778,0.0,0.6929471672224783,0.8612523076233605,2079.076045724421,10,second,-1,value_max,-1,2,-1,0,420000
2391.6531679743366,2078.996952589883,0.878,0.9999619133118929,1.2289189982123059,0.6085606391786779,0.08396854806947371,0.0,0.6931291804499438,0.8693049952077033,2079.076045724419,11,second,-1,value_max,-1,2,-1,0,420000
2392.7452553491266,2070.534932988926,0.895,0.9958443372479999,1.2338867281533303,0.5322006964137964,0.08149938504131775,0.0,0.6931391805366118,0.8689082304422173,2079.076045724421,12,second,-1,value_max,-1,2,-1,0,420000
2433.66125905599,2079.0643640844482,0.894,0.9999943936282362,1.201365149277848,0.5321009286627267,0.0898973605874487,0.0,0.6927551293205423,0.8542996844724753,2079.076045724419,13,second,-1,value_max,-1,2,-1,0,420000
2405.6831850174513,2078.9852912337637,0.889,0.999956160381071,1.2136946998268794,0.5313586617980519,0.09568034001985799,0.0,0.6931471805579453,0.8642351822022389,2079.0760457244196,14,second,-1,value_max,-1,2,-1,0,420000
2417.4074862455295,2079.065337586414,0.892,0.9999948467262341,1.2060517713364785,0.5312689514120094,0.09964506425809347,0.0,0.6927551293205423,0.8600436862853557,2079.0760457244205,15,second,-1,value_max,-1,2,-1,0,420000
2434.0728632916475,2078.8779057928505,0.904,0.9999057333906828,1.218877192204408,0.5294905185385982,0.09998304898280261,0.0,0.6930191750960528,0.8541552215133127,2079.0760457244205,16,second,-1,value_max,-1,2,-1,0,420000
2405.0476707098073,2078.7109625109497,0.873,0.9998250192258947,1.2098537107784886,0.5263742361333074,0.10423921496888486,0.0,0.6929851718088114,0.8644635493278265,2079.076045724422,17,second,-1,value_max,-1,2,-1,0,420000
2429.5304047188783,2079.018783943223,0.866,0.9999724116490454,1.2074028563051833,0.525902398723315,0.09271124758710195,0.0,0.6931291804499438,0.8557522234281281,2079.07604572442,18,second,-1,value_max,-1,2,-1,0,420000
2404.976157738029,2078.7385447508377,0.869,0.9998363298435349,1.2129439093217376,0.5232456525822868,0.09036683549661484,0.0,0.6931471805579453,0.8644892545129728,2079.0760457244223,19,second,-1,value_max,-1,2,-1,0,420000
