eta,alpha,gamma,episodes,auction_type,init,exploration,asynchronous,n_bidders,median_opp_past_bid_index,winner_bid_index_state,avg_rev_last_1000,time_to_converge,avg_regret_of_seller
0.2372384515770254,0.08239743981135561,0.5581499998706037,79105,second,random,egreedy,0,4,True,True,0.8286,1,0.1606624107199292
0.995122435179255,0.08847717166384675,0.965508831960166,69883,second,zeros,egreedy,1,2,False,False,0.6762,6,0.3156161011977162
0.5666643615624456,0.064036226424076,0.6490557735143162,89414,second,zeros,boltzmann,0,4,False,False,0.834,7,0.17091283244234678
0.8159154395172176,0.07996137566117126,0.1017180677889988,44139,first,zeros,boltzmann,1,6,True,False,0.8808,1,0.11860259634336977
0.6259896609299224,0.09509456296162593,0.357700803314214,16856,second,zeros,egreedy,0,4,False,True,0.769,0,0.1969743711438063
0.04499237596385286,0.07146419478330777,0.5365022569030929,54402,first,random,egreedy,0,2,False,False,0.2972,45744,0.5159736774383294
0.07474327423298432,0.08782870845762338,0.31511597523886054,26924,second,zeros,boltzmann,0,6,False,True,0.8892,2,0.10589808349428018
0.9494532932491387,0.06348987087659526,0.7640621259044247,94624,second,zeros,egreedy,1,4,True,False,0.6942000000000002,60299,0.23204261075414268
0.49776313577294307,0.05392384258068236,0.5743019136578507,28349,second,random,egreedy,0,4,True,True,0.8072,12,0.18532576104977244
0.6282656249549805,0.09621651324982831,0.8788334046744534,79121,first,zeros,boltzmann,0,6,True,False,0.8832000000000001,4,0.12102981509333806
0.5690795059766844,0.02853105336531022,0.8824425047225065,76152,second,random,egreedy,0,4,True,True,0.7796000000000001,6,0.19095230591448678
0.6938390678861671,0.07865723236670008,0.489311945116498,47844,first,zeros,egreedy,0,6,True,True,0.5791999999999998,40900,0.23454978680712313
0.6222456430715122,0.026310064999858544,0.4786657348052945,65728,second,zeros,egreedy,1,4,False,False,0.7522000000000001,30408,0.2029272151898734
0.9486757052194865,0.0790424433159639,0.29592048727553555,27910,second,random,egreedy,1,6,False,True,0.7366000000000001,20971,0.1798423504120387
