eta,auction_type,alpha_lr,gamma_disc,episodes,init,exploration,winning_info,opp_info,final_avg_rev
0.7813468849570298,second,0.008926495855666312,0.8637675714649949,164751,zeros,egreedy,True,False,0.572
0.8444218515250481,second,0.07603748589108995,0.41636586502253653,101783,zeros,boltzmann,True,True,0.696
0.13436424411240122,second,0.08489593995678604,0.7561368727868479,101013,zeros,boltzmann,True,False,0.699
0.9560342718892494,first,0.0948349212188756,0.0559858540495406,66974,zeros,boltzmann,False,False,0.633
0.23796462709189137,first,0.05487869330429924,0.36625561488259845,170784,random,boltzmann,True,False,0.632
0.23604808973743452,first,0.011213437388840865,0.3920976601845742,80994,random,boltzmann,True,False,0.639
0.6229016948897019,first,0.07443691193681222,0.7872416299100397,238490,zeros,egreedy,False,False,0.34
0.793340083761663,first,0.08237345018965296,0.48018428165163585,102324,random,boltzmann,True,True,0.632
0.32383276483316237,first,0.01593406821852569,0.6444251283094552,64487,zeros,egreedy,False,False,0.313
0.2267058593810488,first,0.0962672085476039,0.12506758966435097,190963,random,egreedy,False,True,0.36
0.46300735781502145,first,0.03795788120810917,0.13715401838931068,223312,zeros,boltzmann,False,True,0.627
0.5714025946899135,second,0.04346001641283635,0.5723103881231256,91219,zeros,egreedy,False,True,0.671
0.4523795535098186,first,0.0564174662219691,0.914968478183492,143130,random,boltzmann,False,False,0.629
0.4745706786885481,first,0.06608977776306828,0.6597463664135897,78520,zeros,boltzmann,True,True,0.617
0.2590084917154736,first,0.06884054130348916,0.6772410988359496,219867,random,egreedy,False,False,0.332
0.10682853770165568,second,0.0705559668746987,0.6455216001111326,238070,zeros,boltzmann,False,True,0.697
0.965242141552123,first,0.0021538146854219713,0.7286317035989067,81602,random,egreedy,False,True,0.315
0.36152277491407514,second,0.04856758589452811,0.41278310033960813,139351,zeros,egreedy,False,False,0.701
0.5219839097124932,second,0.08086238693474923,0.950889826580638,107925,random,egreedy,False,True,0.708
0.18126486333322134,second,0.0664816243010292,0.331214106135825,89587,zeros,egreedy,True,True,0.68
0.6771258268002703,second,0.07870622425262398,0.5152614956310507,152298,zeros,boltzmann,False,True,0.705
0.9056396761745207,second,0.06893916154564356,0.7588441637990178,230923,random,boltzmann,False,False,0.693
0.16494947983319797,first,0.06928692549753918,0.6286499410006734,145820,zeros,egreedy,False,False,0.351
0.9582093798172728,first,0.014896490417563087,0.02337998566743728,249726,random,boltzmann,False,False,0.63
0.9248652516259452,second,0.09491197202132454,0.8835090106080935,66710,zeros,boltzmann,True,False,0.674
0.7123429878269185,first,0.08414017389487546,0.18076596808497228,249656,random,egreedy,False,True,0.32
0.376962302390386,second,0.09275206226490576,0.8350122717409197,92809,zeros,egreedy,True,False,0.698
0.7472912662232836,first,0.02107251060224506,0.20310706755618207,170151,random,boltzmann,False,False,0.636
0.6484972199788831,first,0.07043558455589881,0.9474765326314871,89280,zeros,boltzmann,True,True,0.602
0.11295717017616302,first,0.013954364523439816,0.5912882813436598,85609,zeros,boltzmann,False,False,0.632
0.5481190538116991,second,0.03523735051046743,0.8364025776809613,107719,zeros,boltzmann,False,False,0.691
0.5390815646058106,first,0.029630447920332335,0.029736539465615792,180727,zeros,egreedy,True,True,0.303
0.01227824739797545,first,0.012127487246943344,0.38890898793523515,186772,random,egreedy,False,False,0.296
0.07742178385330412,second,0.022148062157033844,0.30009705373175755,230042,random,egreedy,False,True,0.713
0.5703284231368732,first,0.06359106656229908,0.8088338212844408,105458,zeros,boltzmann,True,True,0.628
0.5289353829404123,second,0.058988938620236304,0.8348929431812399,229728,zeros,egreedy,True,True,0.672
0.5486946056438222,second,0.0753035540881814,0.739833662115508,223009,zeros,boltzmann,False,True,0.705
0.32870052053309795,second,0.09833817774105152,0.9496550601225725,233664,random,egreedy,False,False,0.684
0.6820045605879779,first,0.010068658199876825,0.6116381853727884,218383,zeros,boltzmann,False,True,0.643
0.6394736947203203,second,0.043473077429058656,0.7170558324497261,63246,zeros,egreedy,False,True,0.685
0.20985124453651727,first,0.039154393215238996,0.19310971124720125,129120,zeros,boltzmann,False,False,0.618
0.4586067093870614,first,0.087908922470162,0.0315280156048927,106485,random,boltzmann,True,True,0.637
0.38102068999577143,second,0.023841199444737043,0.16437635707099382,232766,zeros,boltzmann,False,False,0.699
0.6394267984578837,first,0.003476064767044027,0.27227902518542807,94642,random,boltzmann,False,False,0.622
0.038551839337380045,first,0.06992620794106823,0.1424938891814074,142506,zeros,boltzmann,False,True,0.645
0.40853587925449375,first,0.054655228901355025,0.8534162503144804,85333,zeros,egreedy,False,False,0.324
0.2718754143840908,first,0.04931479257723988,0.0810605489474549,117746,zeros,egreedy,False,True,0.354
0.8882680764524881,first,0.040599445201130284,0.5827339809464898,221957,random,egreedy,False,False,0.294
0.35184625582788265,second,0.04358843835301971,0.4491341549536785,118693,zeros,egreedy,True,False,0.696
0.5481578284163297,first,0.01405725487421169,0.7044313738453442,110450,zeros,egreedy,False,False,0.296
0.06688397634275167,first,0.04191103882639768,0.1093996866066773,200422,random,boltzmann,False,True,0.631
0.4975365687586023,second,0.027351198584181523,0.631037049829254,98495,zeros,egreedy,True,False,0.668
0.243517762709337,first,0.05071868996081244,0.1603181391478979,214244,zeros,boltzmann,True,True,0.619
0.9783548583709967,second,0.006397742846035281,0.7184051039625816,146772,zeros,egreedy,False,False,0.716
0.6171414766699522,second,0.08912371676705247,0.45192234759809896,192280,zeros,egreedy,False,False,0.657
0.9136429725548911,second,0.014610323939135885,0.5505094349007794,146604,zeros,egreedy,True,True,0.645
0.09033985426934954,first,0.09511272289178097,0.14847134246602559,197874,random,boltzmann,False,True,0.628
0.965919188024944,second,0.056415835485891554,0.46893516932853724,154655,random,egreedy,True,False,0.655
0.04256571358257688,second,0.059378958589763726,0.01911770323371462,152825,zeros,boltzmann,True,False,0.682
0.5807571649339567,first,0.021366675899126927,0.6355496740538237,239297,random,boltzmann,True,True,0.613
0.22418547484732643,second,0.09333138936313742,0.9362861728289488,54551,random,egreedy,True,True,0.61
0.3078067547337774,second,0.05821782984032889,0.262961855063994,211579,zeros,egreedy,False,False,0.655
0.4944874359794347,second,0.05611248128459252,0.8016453279403241,114123,random,boltzmann,True,True,0.7
0.9279915658776743,second,0.01812966211475635,0.960922634054944,97621,zeros,boltzmann,False,False,0.704
0.4451392251568228,first,0.030114759751549657,0.900334585312025,146861,zeros,egreedy,False,False,0.297
0.47615826222934565,first,0.06339168637756963,0.3999213598727882,234004,random,boltzmann,False,False,0.626
0.414743999308679,second,0.02948231708936154,0.8362652175705728,138754,zeros,boltzmann,False,False,0.671
0.0708089270590726,second,0.04402418762039276,0.24378727331075217,139137,random,boltzmann,False,True,0.703
0.07479375687311074,second,0.0768340728463992,0.9623727309179367,133058,zeros,boltzmann,False,False,0.678
0.7416689356145733,first,0.09413958443157434,0.7399293628856211,231628,random,boltzmann,True,True,0.625
0.6842409524120733,second,0.010487893539203614,0.16524565820402592,171024,zeros,boltzmann,True,True,0.706
0.909769237923872,first,0.030113825035109176,0.45483954053790726,77271,random,egreedy,True,True,0.299
0.32375334582076565,first,0.06238291903633893,0.008395199494672113,246571,zeros,egreedy,False,False,0.354
0.07342665480233157,second,0.05984183098448753,0.9795524921596351,118796,zeros,egreedy,True,False,0.64
0.27981547357298786,first,0.050711903918848736,0.558506338308041,142192,zeros,boltzmann,False,True,0.616
0.8597284451918654,second,0.05201270302279908,0.11247467626690172,74123,random,egreedy,True,False,0.647
0.45084513414500904,second,0.04422533725933236,0.041218101393509725,203525,zeros,egreedy,True,False,0.677
0.37055664109630704,second,0.09506835815738601,0.1980459994787685,109394,random,boltzmann,True,True,0.694
0.799115369116727,first,0.033264708262191106,0.23808857993184673,214511,zeros,boltzmann,False,False,0.644
0.8144781454478104,second,0.010506271397479491,0.9151503713291699,196084,zeros,egreedy,False,True,0.643
0.14533616183328069,second,0.035601614274008486,0.16130647412316007,99178,random,egreedy,True,False,0.693
0.27149111325994557,second,0.05464875285296972,0.7010490402897401,241719,zeros,boltzmann,True,False,0.68
0.5059404137702477,first,0.04587518660329798,0.5523911175594921,126844,random,egreedy,True,False,0.308
0.14472055263366845,first,0.04949983522563422,0.5000491466314118,243769,random,boltzmann,False,False,0.633
0.49615616980041266,first,0.08581963964948118,0.08780728099369335,125684,random,egreedy,False,True,0.308
0.731531130400211,second,0.09149211726125689,0.03695664617600049,50878,random,boltzmann,True,True,0.686
0.1995887063541001,first,0.06189020758265201,0.10603922067332419,231035,random,boltzmann,True,False,0.62
0.7915259359614659,first,0.004072339877961828,0.8293645512443371,113495,random,boltzmann,True,False,0.639
0.14595480067964695,second,0.019728356850425937,0.8307163926593721,158109,zeros,boltzmann,False,True,0.7
0.3974888769814575,first,0.019761645413547732,0.8934149267757759,175107,zeros,boltzmann,False,False,0.625
0.08109066462388448,first,0.06107347612544703,0.9877505720124362,78117,random,boltzmann,True,False,0.609
0.20367044742105156,second,0.010176648762984821,0.6528852023099282,167225,zeros,boltzmann,True,True,0.682
0.08352052115358566,second,0.018065056478852436,0.6769734349231571,82271,zeros,boltzmann,True,True,0.683
0.4210446142866463,first,0.056926558252115046,0.5525590431992917,167770,zeros,egreedy,False,True,0.358
0.9123433593597492,first,0.04994062498271612,0.5601434399614156,120658,random,boltzmann,False,False,0.631
0.5468015535366331,first,0.013287771147139395,0.2772926764150678,136140,zeros,boltzmann,True,True,0.637
0.7601614783097744,first,0.05186784362802172,0.9871311622781945,157844,zeros,egreedy,False,False,0.326
0.37059431012468647,second,0.09085488849628329,0.39206635203227796,91210,random,egreedy,False,True,0.704
0.19453724793318106,first,0.080801652845142,0.3683392527534061,218405,random,egreedy,False,True,0.38
0.35639820676272216,second,0.08328486746747012,0.3488548606931429,61744,zeros,egreedy,True,False,0.63
0.40397807494366633,first,0.020807469012919598,0.17701429738074614,99686,zeros,boltzmann,False,True,0.624
0.1456692551041303,second,0.046037773446888114,0.7630759676024319,191102,zeros,egreedy,False,False,0.697
0.5811521325045647,second,0.020280695057879536,0.9555985959905,234795,random,egreedy,False,True,0.691
0.1481712063870836,first,0.061980563420546135,0.16798896416181053,192501,zeros,boltzmann,True,False,0.634
0.9790501200727744,first,0.046173529352892984,0.7116585637592341,196977,random,egreedy,True,True,0.294
0.9599609301949554,second,0.0873145050152347,0.724586241789317,95524,random,egreedy,False,False,0.598
0.8780993490764925,second,0.03556274603673468,0.7828164233069373,240317,zeros,boltzmann,False,True,0.714
0.7106837330624928,second,0.0902096485081647,0.016596039606945605,238412,random,boltzmann,False,False,0.694
0.24648195966935815,second,0.05854770310868719,0.9625581968563945,181558,zeros,egreedy,True,False,0.659
0.13052022990067025,second,0.08174780194021906,0.8716362359759219,127018,zeros,egreedy,False,True,0.645
0.27958303860586786,second,0.0464686184566791,0.5417584358691145,70300,zeros,egreedy,False,True,0.67
0.9342619627039729,second,0.039415438232348915,0.8134247843485553,99552,zeros,egreedy,True,True,0.606
0.827170565342314,second,0.022063548402441093,0.9330942491651679,148783,zeros,egreedy,False,True,0.683
0.48124663407330837,second,0.06694266816526882,0.6136353581835969,189888,random,boltzmann,False,True,0.686
0.030555320187374058,second,0.08689418574704211,0.7148552481971893,53574,random,boltzmann,False,False,0.71
0.2409355011784946,first,0.010690835567554093,0.6592668301860418,98694,random,boltzmann,False,True,0.628
0.8959023750070165,second,0.020496564641304456,0.11224484676097132,72448,zeros,boltzmann,True,False,0.695
0.8213575314395892,first,0.060380712852449274,0.7149127006170473,51745,random,boltzmann,True,False,0.62
0.24010303006625622,second,0.017275842471188487,0.39584982786074124,81731,random,boltzmann,True,True,0.692
0.7109822677962845,first,0.019071317083425028,0.09802555341715796,122454,zeros,boltzmann,False,True,0.647
0.9263128585070141,second,0.01880207591588631,0.7762481970505487,157729,random,egreedy,True,False,0.715
0.5149379540077491,second,0.019676168960222208,0.9433903318362041,177053,random,boltzmann,False,False,0.693
0.08730148686581662,first,0.05879700050102627,0.3937739775289427,232932,zeros,boltzmann,False,True,0.613
0.5100185067434795,second,0.06010281062365033,0.29927520566021487,236006,random,boltzmann,False,False,0.709
0.052363598850944326,first,0.0096314810747406,0.40316934603369436,71540,zeros,boltzmann,True,False,0.642
0.9607807567552326,second,0.05527727564102366,0.1753086960160032,243098,zeros,boltzmann,False,True,0.698
0.9000582191556544,first,0.023030696310211617,0.7999662581284973,110188,zeros,egreedy,True,False,0.232
0.5725767393426415,second,0.05822832558268402,0.45178377877934073,179025,zeros,egreedy,False,False,0.728
0.04457579487834051,first,0.06276638625166701,0.558410667957986,69614,zeros,egreedy,True,False,0.344
0.9400340903508457,first,0.02442816565305455,0.5063962152625311,76808,random,boltzmann,True,True,0.661
0.5860977684559575,second,0.07842087462184483,0.26907931197964924,226873,random,boltzmann,False,False,0.693
0.5197779418935203,second,0.028058846970402646,0.7333906926482603,209544,random,boltzmann,False,True,0.682
0.3154351888034451,second,0.07721696348705792,0.08671116135247768,107364,random,boltzmann,False,False,0.692
0.412428827254279,second,0.04136448800685105,0.888780848676555,229618,random,egreedy,False,True,0.708
0.493832650441572,second,0.04875303740732759,0.7612631455766704,211657,random,egreedy,True,True,0.67
0.48411875607914223,first,0.020678053661098206,0.9740406787518291,232208,random,boltzmann,False,True,0.622
0.6695350361882403,first,0.06292140262340366,0.576946326818817,147578,zeros,boltzmann,False,False,0.627
0.5757162081364305,second,0.05328125894822063,0.4288248553142129,202861,random,egreedy,True,False,0.663
0.0723665742694708,second,0.04159941692083331,0.9803521693536592,96184,random,boltzmann,True,True,0.661
0.1934363348923832,second,0.04556052222657413,0.691183300081423,91649,random,egreedy,False,True,0.655
0.0015101727801708487,second,0.06980374065043829,0.5334418123343815,228230,random,boltzmann,True,True,0.673
0.7715909396983306,first,0.010406232446353955,0.2642053343207865,156343,random,egreedy,False,True,0.293
0.5173208995067238,second,0.003988567601548265,0.7762666781266659,85473,random,boltzmann,False,True,0.694
0.5825884393831776,second,0.06833882344767007,0.48218340742358073,147206,zeros,boltzmann,False,False,0.691
0.9063711552614622,first,0.08528863712652919,0.04535875160791163,95215,random,boltzmann,True,False,0.635
0.44826722171366973,second,0.045985134922485855,0.935397897119225,194394,random,boltzmann,True,False,0.701
0.8704757225324894,first,0.08080137360732047,0.902583685276976,50336,zeros,boltzmann,True,False,0.633
0.13333516672131096,second,0.06270882907872628,0.7648865699720397,63033,random,boltzmann,False,False,0.698
0.6052398804018957,second,0.01573095880279133,0.9353996419186921,137899,random,boltzmann,True,True,0.683
0.4035017542758138,second,0.06396700043035337,0.9605613839109445,57780,zeros,boltzmann,True,False,0.672
0.07110750748297234,first,0.025920353675962474,0.13734018276667148,60992,random,boltzmann,False,False,0.623
0.823807241964088,second,0.08962570673596763,0.18598972644785092,110771,random,egreedy,True,False,0.663
0.7065737352491744,first,0.08475215080598432,0.9412778152892994,176557,zeros,boltzmann,True,False,0.63
0.9776533227882791,first,0.039753598683552875,0.14471963024197917,244321,random,egreedy,False,False,0.293
0.9933676756211455,second,0.008491048646720945,0.2574103075009064,220309,zeros,egreedy,True,False,0.706
0.20314230637552744,second,0.0922942897470681,0.3717639906074787,216186,random,boltzmann,True,True,0.686
0.5808862932227294,second,0.05439926824838961,0.8846912217319266,246604,zeros,boltzmann,False,False,0.679
0.4877794788599591,first,0.08900577371782001,0.24498924881111997,121532,random,egreedy,True,True,0.335
0.6116433925248853,first,0.02325524271205206,0.016257046084078942,119881,zeros,egreedy,False,False,0.288
0.6842523064030807,second,0.09955356323591279,0.9250175912471227,70482,zeros,boltzmann,False,False,0.69
0.3945198816852111,first,0.06758120084866792,0.24187843905282733,218218,random,boltzmann,True,False,0.653
0.1225370131751905,second,0.034975040916711345,0.17265653960583086,167561,random,boltzmann,True,False,0.692
0.5182100698662082,second,0.05548297383363905,0.22726525037892104,229894,random,boltzmann,True,False,0.698
0.05370417006410588,second,0.0903913619081612,0.20257660288521276,90495,zeros,boltzmann,True,False,0.69
0.5414206878934907,second,0.04625335764044712,0.5784761018393207,148543,random,boltzmann,False,True,0.697
0.09533490047837367,second,0.030802609752354278,0.9342200000052298,142598,random,egreedy,True,True,0.622
0.016825005872407095,first,0.0962208339427215,0.8826533018480082,64840,random,boltzmann,True,True,0.619
0.17871435457775042,first,0.06072142102046909,0.4237404717659102,115384,zeros,boltzmann,True,False,0.632
0.2288289056770828,first,0.009700744304821946,0.4203282354778816,243361,random,boltzmann,True,False,0.619
0.7455596261835028,first,0.05218658698032125,0.3758289800765624,94325,random,boltzmann,False,True,0.618
0.25552750021061,second,0.06284740107012589,0.5497411297669781,74576,zeros,boltzmann,False,False,0.681
0.7874013583733741,first,0.09108078679366309,0.5807109134422977,112919,zeros,boltzmann,False,False,0.632
0.7815582961174371,second,0.05662077926348398,0.9729161434600013,73594,random,boltzmann,True,True,0.682
0.3525198563449068,second,0.022184773733177707,0.8399477165099252,198137,zeros,boltzmann,False,False,0.679
0.3241267240578728,second,0.0671904815889188,0.7700783087100013,193826,random,boltzmann,False,True,0.696
0.8041030466905951,first,0.044775600942518846,0.024085366216326745,121912,random,egreedy,True,True,0.302
0.4439593943554271,first,0.006129848120489479,0.5676810062839267,210186,zeros,egreedy,True,True,0.3
0.029699169513238477,second,0.0769762079897604,0.22133242152357513,72228,zeros,boltzmann,False,False,0.703
