eta,alpha,gamma,episodes,auction_type,init,exploration,asynchronous,n_bidders,median_opp_past_bid_index,winner_bid_index_state,avg_rev_last_1000,time_to_converge,avg_regret_of_seller
0.3710235756614092,0.019065603860766306,0.5817300823355028,87624,first,zeros,boltzmann,1,6,False,False,0.8800000000000001,11,0.12053090477494748
0.6866622519398587,0.07418612205681295,0.5299540620440037,203484,first,zeros,boltzmann,1,4,False,False,0.808,6,0.1968253032179434
0.20351578643744772,0.09491510951730292,0.1734812503939052,109043,first,random,boltzmann,1,4,True,True,0.79,1,0.19099254422567238
0.7825319181459158,0.04228660744804212,0.8978221873509805,71538,first,random,egreedy,1,2,False,True,0.3256,58177,0.49890687466800854
0.3426061992995669,0.08015553240980554,0.6695541161387749,73834,second,random,boltzmann,1,6,False,False,0.8888,2,0.1078771297776092
0.9778204955475933,0.044540672436266304,0.13355399832882903,249084,second,zeros,egreedy,1,2,True,False,0.6692,1,0.3234467087408264
0.10513881210677978,0.0633329409717178,0.1527051701806366,170649,first,zeros,egreedy,1,4,True,True,0.6348,124511,0.2676382516158899
0.11413916868042806,0.04899940765134477,0.10302315400409091,221266,first,zeros,boltzmann,0,6,True,True,0.876,1,0.12019831334231197
0.6571799351269132,0.036267736544567816,0.42896466540842504,239663,first,zeros,egreedy,0,4,False,False,0.511,204971,0.30995105627485253
0.9941423546141369,0.03315586968430475,0.17858872912689366,192881,second,random,boltzmann,1,4,True,False,0.8298000000000001,3,0.16922765850446642
0.43300408640849064,0.06293273283419734,0.25684981074985996,197806,second,zeros,boltzmann,0,2,True,False,0.6928000000000001,4,0.30763677542642787
0.0025987638278617275,0.024765564555699646,0.527902943874979,248937,second,zeros,egreedy,1,4,True,False,0.8494,5,0.16183934087741073
0.02885889366754979,0.018414818298851166,0.6070580529926675,69339,first,random,egreedy,1,4,True,False,0.6064,58784,0.272576760553224
0.4585849020276529,0.03850364337736557,0.9303811437647033,65209,second,random,egreedy,0,2,True,False,0.6881999999999999,1,0.3058166817463847
0.8957517591629675,0.03325706178352662,0.12684657581125872,159468,first,zeros,boltzmann,0,4,True,False,0.8032,389,0.19704392103744955
0.2727042981141019,0.09382527301559584,0.23775369000701044,149155,first,zeros,egreedy,0,4,True,True,0.5357999999999999,125658,0.30107740270188726
0.12705782940814891,0.08332514665674856,0.8597815554302114,150783,first,random,egreedy,1,6,False,True,0.7186,110462,0.18683008031409373
0.9874790495186533,0.03032579492715036,0.020032907397016745,115988,first,random,egreedy,1,2,False,False,0.2984000000000001,99516,0.5099579266820705
0.7618578917940665,0.03620654537481209,0.7491619034006233,185853,second,random,boltzmann,0,4,False,True,0.8248000000000001,19,0.16943713580087486
0.4766229113474827,0.0846348802304449,0.03036552648972813,148917,second,zeros,egreedy,0,2,True,True,0.6944000000000001,1,0.3095442427661046
0.0014948457627914635,0.02578277595275224,0.7197249670482998,117332,second,random,boltzmann,0,4,False,False,0.8318,97,0.16833770838304976
0.6807068482571157,0.08308223556342563,0.7616661002314576,66423,second,zeros,boltzmann,0,6,False,False,0.8882000000000001,15,0.10734233623895334
0.6058394817104706,0.04898925860332584,0.17681385091520135,225260,second,random,boltzmann,0,2,False,False,0.6776000000000001,1,0.3088120394211133
0.05835153792656855,0.099666711727123,0.9046087937090947,148793,first,random,egreedy,1,4,False,True,0.6218,104556,0.26605418265644215
0.8834540769656458,0.031032144762708345,0.601506097110893,142516,second,random,boltzmann,0,4,False,True,0.8282,38,0.16963288332538096
0.12073521680966892,0.07339577895680546,0.2569625368583529,116869,first,zeros,egreedy,1,4,False,False,0.6358000000000001,74014,0.2633718094618761
0.9956437195316485,0.04790714552726267,0.7808837867358082,91309,second,zeros,egreedy,1,6,False,False,0.7508,52331,0.18475287211556363
0.24870410102424012,0.09123867476624549,0.5026972096987435,119157,first,random,egreedy,1,6,False,False,0.7068000000000001,87570,0.18681739218006493
0.1875852147307977,0.03833853887671595,0.01569369280089997,164729,first,zeros,egreedy,1,6,True,False,0.7152000000000001,129017,0.1844702511397507
0.924272123477142,0.03896338067437601,0.23137132054236567,120048,first,zeros,boltzmann,0,6,True,True,0.8784000000000001,3,0.12138644542183125
0.5167442968489132,0.06262408131998899,0.8042984985354036,58997,first,zeros,egreedy,0,6,True,True,0.5882,51541,0.22783531366001658
0.5163844218652107,0.05530193255032002,0.2871295211512868,55784,second,zeros,egreedy,0,4,True,True,0.7882,5139,0.18613939480854721
0.643010399320398,0.03815247268952402,0.839054832965841,60770,second,random,boltzmann,0,4,True,False,0.8266,2,0.168823432614777
0.7685983203264732,0.020732038307823848,0.7282574986512498,90937,second,zeros,egreedy,0,4,False,True,0.7466000000000002,8,0.2138315537130101
0.459801610479304,0.06419944683048383,0.8751504262928834,222354,first,zeros,egreedy,1,4,False,False,0.5445999999999999,185980,0.2974769961412882
0.09614569016039354,0.032862586272597215,0.8467692111594105,111217,second,random,egreedy,0,6,False,False,0.9088,2,0.0890331514067094
0.3561997802933511,0.023838951579215645,0.5345734825849638,78172,first,random,egreedy,1,2,False,True,0.31620000000000004,67959,0.5048303740469733
0.9870989461529606,0.06893347649241655,0.5786304867965785,238059,first,zeros,boltzmann,0,2,False,False,0.636,11,0.3716322424272973
0.38927061714007305,0.05052777988547746,0.5517785336045546,142229,second,zeros,egreedy,1,4,True,False,0.7984000000000001,69,0.18338172946445516
0.3470129476511644,0.04685160831535404,0.6988976072536863,170447,second,zeros,boltzmann,1,4,True,False,0.8304000000000001,0,0.16989093383867124
0.997703076374573,0.01604178599535418,0.888095384650758,150072,first,random,egreedy,1,6,False,True,0.5501999999999999,128331,0.24928434351511278
0.6734892676462035,0.04568473385737157,0.04230479522494732,90888,second,zeros,boltzmann,0,6,True,False,0.8858,2,0.1078624240823871
0.6032907391792415,0.09506092067997109,0.9641681578950858,242513,second,zeros,egreedy,1,6,False,True,0.7770000000000001,152083,0.15407421457818754
0.7293500986281811,0.07374036558388083,0.7161033143868087,75877,second,random,boltzmann,1,4,True,False,0.8128,261,0.16897083437668856
0.764751135098872,0.08808816790725388,0.8755911483194531,135445,second,zeros,egreedy,1,4,False,False,0.7376000000000001,56704,0.2130872309793643
0.6004328016918894,0.08798959417860958,0.0587742583323951,148328,second,zeros,boltzmann,0,4,True,True,0.8336000000000001,2,0.16903753842834796
0.21052666326270952,0.0687023367712948,0.7407707306113095,201357,first,zeros,boltzmann,1,6,True,True,0.8754000000000001,3,0.11921313885288319
0.09310541692487506,0.07847352823438211,0.9468338449496545,108542,second,zeros,egreedy,0,2,False,True,0.6966,138,0.29919293913876654
0.7706713420123673,0.021321081865299248,0.814197734241516,65019,second,zeros,boltzmann,0,2,False,False,0.7006000000000001,2,0.3085098202064012
0.19186956641422748,0.08549497466545346,0.666981200807242,104590,second,random,boltzmann,1,2,False,True,0.6880000000000002,9,0.3102973515632469
0.5617511641623347,0.020047820510491213,0.7351709936777461,171556,second,zeros,egreedy,1,2,False,True,0.6822,5,0.307026277133997
0.5727071507583812,0.04435902952417637,0.7549310112958527,179032,second,random,boltzmann,1,2,False,True,0.6950000000000001,13,0.3080946422985834
0.9282141641383067,0.02160950172891346,0.5884534701260091,218918,second,random,egreedy,0,6,False,False,0.7384000000000001,154295,0.17558081107994772
0.24456313213046998,0.04966040544071114,0.9402789087289967,65372,second,zeros,boltzmann,1,2,True,True,0.6932,26,0.3180597197576944
0.13084379097493015,0.0839659521737573,0.270307378851,162232,first,random,egreedy,1,2,False,True,0.36920000000000003,117158,0.4897591104097835
0.2462405818923814,0.059435284339679546,0.26227488929318005,95206,first,random,egreedy,0,4,True,True,0.5438,77348,0.3007247442388084
0.6009288676991922,0.08395845569658668,0.675099491565396,148578,second,zeros,boltzmann,0,2,False,False,0.689,50,0.3089461427667622
0.6536767102377794,0.05971994498076737,0.625190308314777,209121,first,zeros,egreedy,0,2,False,True,0.26780000000000004,186144,0.5150663969663496
0.01155785056974723,0.039326642524262725,0.3091412843960652,237791,first,random,boltzmann,1,4,True,False,0.8026,6,0.19374492726806314
0.034736017151196785,0.024535902989314132,0.8716869653431057,87496,second,zeros,egreedy,1,6,False,False,0.9022,5,0.09453460729633355
