value_type,alpha,beta,design,K,learned_revenue_mean,learned_revenue_std,theoretical_revenue,ratio_mean,ratio_stderr
Private,1.0,0.0,0.0,5,0.36085,0.01655456885575701,0.3320484869717011,1.0867388774783169,0.022296226456124977
Private,1.0,0.0,1.0,5,0.19422,0.05485947502483048,0.33164327060319965,0.5856292505098888,0.07397678544320171
Common,0.5,0.5,0.0,5,0.35134,0.016529609795757447,0.3307193126961788,1.0623510224900738,0.0223520851222954
Common,0.5,0.5,1.0,5,0.25048000000000004,0.08447337302369308,0.3344174892723214,0.7490038889563884,0.1129655059492777
Affiliated,0.5,0.5,0.0,5,0.3582,0.04419336771507688,0.3340658837256059,1.0722435826288006,0.05916160804179836
Affiliated,0.5,0.5,1.0,5,0.2384,0.12635376923542885,0.33349862570170113,0.7148455244707295,0.1694373502315151
Identical,1.0,0.0,0.0,5,0.54643,0.04546909114992288,1.0,0.54643,0.020334395737272328
Identical,1.0,0.0,1.0,5,0.44634999999999997,0.2297534412147074,1.0,0.44634999999999997,0.10274886252411751
