mean_platform_revenue,mean_liquid_welfare,mean_effective_poa,mean_budget_utilization,mean_bid_to_value,mean_allocative_efficiency,mean_dual_cv,mean_no_sale_rate,mean_winner_entropy,mean_lp_offline_welfare,mean_effective_poa_lp,mean_rev_all,warm_start_benefit,inter_episode_volatility,bid_suppression_ratio,cross_episode_drift,auction_type,auction_type_coded,objective,objective_coded,n_bidders,n_bidders_coded,budget_multiplier,budget_multiplier_coded,reserve_price,reserve_price_coded,sigma,sigma_coded,cell_id,replicate,seed,auction_type_code,objective_code
1440.5916515885751,1440.7032076577327,1.0,0.9999249453958924,0.5388428589827342,0.6674777777777778,0.15580862637385,0.0,0.6893973384920431,1440.7032076577332,1.0000000000000002,1440.5231229073688,0.238865853176776,0.0002874749926987,0.5388428589288499,-1.797053352641039e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,0,420000,0,0
1318.6054673402873,1318.686343040494,1.0,0.9999374141344598,0.5374006595596054,0.7033999999999999,0.1386247155024652,0.0,0.6908272481136516,1318.686343040494,1.0,1318.5873906520897,0.4013135472091562,0.0001790223081651,0.5374006595058652,1.137693448581231e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,1,420001,0,0
988.2358891012306,988.3397592526215,1.0,0.9998949069658334,0.5378934477240046,0.6821222222222223,0.1509621561986159,0.0,0.6902253720423976,988.3397592526214,1.0,988.2461685719452,0.0082709606899697,0.0003221848097205,0.5378934476702153,1.4580595704192191e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,2,420002,0,0
998.6576398076952,998.7771539632978,1.0000000000000002,0.9998806087332064,0.5349003108238234,0.851011111111111,0.1560214138025319,0.0,0.6926968709016628,998.7771539632978,1.0,998.6448925360592,1.539202646068361,0.0005130947021086,0.5349003107703334,1.633842768042912e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,3,420003,0,0
956.4418913280196,956.6498097054566,1.0,0.9997820988584468,0.5413470083656966,0.6156111111111111,0.1815624169196837,0.0,0.6871430358055959,956.6498097054564,1.0,956.4174780547468,-2.5101448727582465e-05,0.00084632793801,0.5413470083115619,2.4002397048727702e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,4,420004,0,0
1456.1659925545523,1456.38937860387,1.0000000000000002,0.9998418088693104,0.591743104610341,0.6551666666666667,0.1492910278246625,0.0,0.6439780634746781,1456.3893786038702,1.0,1456.1320049818612,0.1902134242895954,0.0005458279972764,0.5917431045511666,4.233972741365828e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,5,420005,0,0
1529.0102647677245,1529.240919993868,1.0,0.9998362825888324,0.5729539175608832,0.6285111111111111,0.1478869641255837,0.0,0.659545776459175,1529.240919993868,1.0,1529.0308772517776,0.0909713547785031,0.0003965218408044,0.5729539175035878,-2.0093085427655752e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,6,420006,0,0
1278.5234017593025,1278.5864999966527,1.0,0.9999448562259732,0.5501573825526497,0.5905444444444444,0.1272993996196194,0.0,0.6789026397428386,1278.5864999966532,1.0,1278.5267858212758,-0.2499110651674527,0.0001975832851252,0.5501573824976339,-8.616081209780549e-06,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.1,-1,0,7,420007,0,0
2319.4908766824306,2320.641178442663,1.0,0.9995036244482666,0.7124536382346085,0.886488888888889,0.2457338067967652,0.0,0.692347249556828,2320.6411784426627,1.0,2319.3815925915956,-5.604380515167577,0.0013167402089927,0.7124536381633632,0.0001562969422991,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,0,421000,0,0
2000.173198096219,2000.7756446773944,1.0,0.9996999272523376,0.7130020922875917,0.8861444444444446,0.1794782977338364,0.0,0.6851381304837179,2000.7756446773944,1.0,2000.1856034147745,0.1314266353069797,0.0007144756997973,0.7130020922162915,7.541258084602783e-06,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,1,421001,0,0
2146.8768367898424,2147.416592653051,1.0000000000000002,0.9997503965959716,0.7080000761628109,0.8914222222222223,0.1831195154928132,0.0,0.6903026263997123,2147.416592653051,1.0000000000000002,2146.8560739964155,1.6745127945605418,0.0006151198636458,0.7080000760920109,3.153668845081904e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,2,421002,0,0
1920.0090277306967,1920.9781536506189,1.0,0.9995009962982196,0.7659789126914855,0.8442999999999999,0.2411354672460399,0.0,0.6396698665202065,1920.9781536506189,1.0,1920.0287748947603,-0.1615067442930922,0.0016113195487998,0.7659789126148876,2.049363628934362e-06,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,3,421003,0,0
1066.7840380660105,1067.0269942743942,0.9999999999999996,0.9997721609499208,0.699960977019369,0.9152555555555556,0.146786719087941,0.0,0.6925419086734347,1067.0269942743937,1.0,1066.7847578936762,-0.3086668701139388,0.0008567666358932,0.6999609769493729,-1.8490435361276863e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,4,421004,0,0
2106.989636931394,2107.8113010622656,1.0,0.99961435297529,0.7186943564197746,0.8788444444444443,0.2302483370913401,0.0,0.6824656110404657,2107.811301062265,0.9999999999999996,2106.97118968349,3.3953721360494455,0.0011294730957136,0.7186943563479052,-2.4596114895208337e-05,second,-1,value_max,-1,2,-1,0.25,-1,0.0,-1,0.5,1,1,5,421005,0,0
